Address,Website,District Number,District Name,School Number,School Name,Total Points 2013,Scale,Did this School Benefit from the One-Letter-Grade-Drop Protection?,Marker_Type,Preliminary Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,Grade 2003,Grade 2002,Grade 2001,Grade 2000,Grade 1999,Charter,School Type,Free or Reduced-Price Lunch Rate,Minority Rate,Region,Title I,Alt/ESE Code
"JEAN RIBAULT MIDDLE SCHOOL 3175 JUPITER BLVD SE, PALM BAY, FL, 32909-4106",http://www.turner.brevard.k12.fl.us                                                                 ,16,DUVAL,2121,JEAN RIBAULT MIDDLE SCHOOL,424,900,NA,measle_turquoise,C,D,C,B,B,C,C,D,C,B,D,D,D,C,D,NO,1,95,99,5,YES,N
"MANATEE CHARTER SCHOOL 3175 JUPITER BLVD SE, PALM BAY, FL, 32909-4106",http://www.turner.brevard.k12.fl.us                                                                 ,41,MANATEE,2121,MANATEE CHARTER SCHOOL,353,800,NA,small_yellow,B,A,B,B,B,B,C,A,C,B,C,C,C,D,D,NO,1,83,91,5,YES,N
"CRYSTAL LAKES ELEMENTARY SCHOOL 3175 JUPITER BLVD SE, PALM BAY, FL, 32909-4106",http://www.turner.brevard.k12.fl.us                                                                 ,50,PALM BEACH,2121,CRYSTAL LAKES ELEMENTARY SCHOOL,495,800,YES,small_green,A,A,A,A,A,A,A,A,A,A,A,A,B,A,C,NO,1,57,59,5,YES,N
"CITY OF CORAL SPRINGS CHARTER 3205 N UNIVERSITY DR, CORAL SPRINGS, FL, 33065-4115",                                                                                                    ,6,BROWARD,5091,CITY OF CORAL SPRINGS CHARTER,Pending,Pending,Pending,measle_gray,Pending,D,C,C,D,C,D,D,D,D,C,D,C,C,D,NO,3,67,55,4,YES,N
"SOUTH POINTE ELEMENTARY SCHOOL 3205 N UNIVERSITY DR, CORAL SPRINGS, FL, 33065-4115",                                                                                                    ,13,DADE,5091,SOUTH POINTE ELEMENTARY SCHOOL,633,800,NA,small_purple,D,C,B,C,B,B,C,C,C,A,B,B,C,B,A,NO,1,85,61,4,YES,N
"ROOSEVELT ELEMENTARY SCHOOL 3205 S FERDINAND AVE, TAMPA, FL, 33629-8009",                                                                                                    ,29,HILLSBOROUGH,3801,ROOSEVELT ELEMENTARY SCHOOL,595,800,NA,measle_turquoise,C,C,D,F,B,C,C,D,C,D,C,F,D,D,F,NO,1,98,98,5,YES,N
"EXCELSIOR CHARTER ACADEMY 3206 S UNIVERSITY DR, MIRAMAR, FL, 33025-3007",                                                                                                    ,13,DADE,5032,EXCELSIOR CHARTER ACADEMY,411,800,NA,small_purple,D,D,C,C,,,,,,,,,,,,NO,4,96,94,4,YES,N
"SPRINGHEAD ELEMENTARY SCHOOL 3208 NESMITH RD, PLANT CITY, FL, 33566-4656",                                                                                                    ,29,HILLSBOROUGH,4161,SPRINGHEAD ELEMENTARY SCHOOL,495,800,YES,measle_turquoise,C,B,B,A,A,A,B,B,B,C,,,,,,NO,2,86,91,5,YES,N
"THE SCHOOL OF ARTS & SCIENCES 3208 THOMASVILLE RD, TALLAHASSEE, FL, 32308-7904",                                                                                                    ,37,LEON,1402,THE SCHOOL OF ARTS & SCIENCES,692,900,NA,small_yellow,B,A,A,A,A,A,A,A,,,,,,,,NO,1,39,57,2,NO,N
"ATHENIAN ACADEMY OF PASCO COUNTY 3215 NUNDY RD, TAMPA, FL, 33618-2511",                                                                                                    ,51,PASCO,4321,ATHENIAN ACADEMY OF PASCO COUNTY,410,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NO,1,20,64,5,NO,N
"WESTWOOD MIDDLE SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,1,ALACHUA,141,WESTWOOD MIDDLE SCHOOL,560,900,YES,measle_gray,Pending,C,B,B,C,B,D,B,B,C,B,C,C,C,C,NO,3,56,44,1,NO,N
"EVERITT MIDDLE SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,3,BAY,141,EVERITT MIDDLE SCHOOL,467,900,NA,measle_gray,Pending,A,A,B,A,A,C,B,B,,,,,,,NO,3,54,65,5,NO,N
"ANDREW JACKSON MIDDLE SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,5,BREVARD,141,ANDREW JACKSON MIDDLE SCHOOL,604,900,NA,measle_gray,Pending,A,A,A,A,A,A,B,B,C,A,N,,,,YES,3,56,94,5,NO,N
"MEADOW PARK ELEMENTARY SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,8,CHARLOTTE,141,MEADOW PARK ELEMENTARY SCHOOL,464,800,NA,measle_gray,Pending,C,B,D,D,C,D,C,C,C,C,C,C,C,C,NO,3,65,52,2,YES,N
"SHADOWLAWN ELEMENTARY SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,11,COLLIER,141,SHADOWLAWN ELEMENTARY SCHOOL,482,800,NA,small_red,F,D,C,C,A,F,C,C,C,C,D,C,C,D,D,NO,1,99,100,5,YES,N
"SUMMERS ELEMENTARY SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,12,COLUMBIA,141,SUMMERS ELEMENTARY SCHOOL,482,800,NA,small_red,F,D,C,D,D,A,B,A,C,C,C,D,D,D,D,NO,1,96,98,5,YES,N
"GREENSBORO ELEMENTARY SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,20,GADSDEN,141,GREENSBORO ELEMENTARY SCHOOL,497,800,NA,measle_turquoise,C,B,A,B,B,B,B,A,B,C,C,C,B,C,C,NO,2,60,27,4,NO,N
"APOLLO BEACH ELEMENTARY SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,141,APOLLO BEACH ELEMENTARY SCHOOL,541,800,NA,measle_turquoise,C,B,A,,,,,,,,,,,,,YES,4,32,40,4,NO,N
"CITRUS ELEMENTARY SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,31,INDIAN RIVER,141,CITRUS ELEMENTARY SCHOOL,444,800,NA,measle_turquoise,C,B,D,C,C,C,A,B,B,B,B,C,B,A,C,NO,1,71,52,4,YES,N
"SNEADS HIGH SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,32,JACKSON,141,SNEADS HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,B,A,B,A,C,,,,,,,,,,NO,4,74,63,3,YES,N
"SEMINOLE SPRINGS ELEMENTARY SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,35,LAKE,141,SEMINOLE SPRINGS ELEMENTARY SCHOOL,495,800,YES,measle_turquoise,C,B,A,B,A,C,C,B,C,C,C,C,C,C,C,NO,1,88,62,4,YES,N
"CYPRESS LAKE MIDDLE SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,36,LEE,141,CYPRESS LAKE MIDDLE SCHOOL,649,900,NA,small_yellow,B,,,,,,,,,,,,,,,NO,1,34,41,2,NO,N
"LAKEVILLE ELEMENTARY 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,48,ORANGE,141,LAKEVILLE ELEMENTARY,503,800,NA,small_yellow,B,A,A,A,A,A,B,A,,,,,,,,NO,1,82,61,4,YES,N
"LAKE PARK ELEMENTARY SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,50,PALM BEACH,141,LAKE PARK ELEMENTARY SCHOOL,417,800,NA,small_yellow,B,A,A,B,A,A,A,A,B,A,A,A,C,A,C,NO,1,63,33,4,YES,N
"LARGO MIDDLE SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,52,PINELLAS,141,LARGO MIDDLE SCHOOL,478,900,NA,small_green,A,B,B,C,C,,,,,,,,,,,YES,4,88,99,5,YES,N
"SAMUEL S. GAINES ACADEMY K-8 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,56,ST. LUCIE,141,SAMUEL S. GAINES ACADEMY K-8,431,900,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,C,A,B,NO,1,26,44,3,NO,N
"JAY HIGH SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,57,SANTA ROSA,141,JAY HIGH SCHOOL,Pending,Pending,Pending,small_green,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,NO,1,19,24,5,NO,N
"MCINTOSH MIDDLE SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,58,SARASOTA,141,MCINTOSH MIDDLE SCHOOL,576,900,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,N,,,,NO,1,35,39,5,NO,N
"PINE CREST ELEMENTARY SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,59,SEMINOLE,141,PINE CREST ELEMENTARY SCHOOL,404,800,NA,small_green,A,A,A,B,A,B,C,B,B,B,,,,,,NO,1,61,57,4,NO,N
"FREEPORT SENIOR HIGH SCHOOL 3215 NW 15TH AVE, GAINESVILLE, FL, 32605-5053",http://www.sbac.edu/pages/ACPS                                                                      ,66,WALTON,141,FREEPORT SENIOR HIGH SCHOOL,Pending,Pending,Pending,measle_brown,No grade,D,C,C,,,,,,,,,,,,YES,1,88,100,5,YES,N
"POTTER ELEMENTARY SCHOOL 3224 E CAYUGA ST, TAMPA, FL, 33610-6940",                                                                                                    ,29,HILLSBOROUGH,3521,POTTER ELEMENTARY SCHOOL,370,800,NA,measle_turquoise,C,B,A,C,A,B,A,A,A,A,B,C,C,C,C,NO,1,93,93,5,YES,N
"WELLEBY ELEMENTARY SCHOOL 3230 N NOB HILL RD, SUNRISE, FL, 33351-6926",                                                                                                    ,6,BROWARD,2881,WELLEBY ELEMENTARY SCHOOL,440,800,NA,measle_gray,Pending,B,B,C,B,C,D,C,B,D,C,C,C,C,C,NO,3,39,50,3,NO,N
"LEEWOOD K-8 CENTER 3230 N NOB HILL RD, SUNRISE, FL, 33351-6926",                                                                                                    ,13,DADE,2881,LEEWOOD K-8 CENTER,678,900,NA,small_purple,D,C,B,C,C,C,C,B,A,B,B,A,C,A,C,NO,1,94,45,4,YES,N
"LARKDALE ELEMENTARY SCHOOL 3250 NW 12TH PL, LAUDERHILL, FL, 33311-4942",                                                                                                    ,6,BROWARD,621,LARKDALE ELEMENTARY SCHOOL,395,800,YES,measle_gray,Pending,A,A,A,B,A,A,A,A,B,A,A,A,B,B,NO,3,18,32,4,NO,N
"OAKLEAF VILLAGE ELEMENTARY SCHOOL 3250 NW 12TH PL, LAUDERHILL, FL, 33311-4942",                                                                                                    ,10,CLAY,621,OAKLEAF VILLAGE ELEMENTARY SCHOOL,495,800,YES,small_red,F,D,D,D,C,C,,,,,,,,,,NO,1,97,98,4,YES,N
"OCEANWAY SCHOOL 3250 NW 12TH PL, LAUDERHILL, FL, 33311-4942",                                                                                                    ,16,DUVAL,621,OCEANWAY SCHOOL,556,900,NA,measle_turquoise,C,C,C,,,,,,,,,,,,,YES,1,89,89,5,YES,N
"CAPE CORAL HIGH SCHOOL 3250 NW 12TH PL, LAUDERHILL, FL, 33311-4942",                                                                                                    ,36,LEE,621,CAPE CORAL HIGH SCHOOL,Pending,Pending,Pending,small_yellow,B,A,A,B,A,C,C,A,B,C,C,D,D,D,D,NO,1,95,87,5,YES,N
"FLORINE J ABEL ELEMENTARY SCHOOL 3250 NW 12TH PL, LAUDERHILL, FL, 33311-4942",                                                                                                    ,41,MANATEE,621,FLORINE J ABEL ELEMENTARY SCHOOL,435,800,YES,small_yellow,B,C,C,D,D,D,C,C,C,D,C,C,C,D,F,NO,4,96,100,5,YES,N
"ROMEO ELEMENTARY SCHOOL 3250 NW 12TH PL, LAUDERHILL, FL, 33311-4942",                                                                                                    ,42,MARION,621,ROMEO ELEMENTARY SCHOOL,417,800,NA,small_yellow,B,B,A,A,A,A,A,A,B,B,A,A,A,C,C,NO,2,44,56,2,NO,N
"KENWOOD ELEMENTARY SCHOOL 3250 NW 12TH PL, LAUDERHILL, FL, 33311-4942",                                                                                                    ,46,OKALOOSA,621,KENWOOD ELEMENTARY SCHOOL,498,800,NA,small_yellow,B,A,B,C,A,A,A,C,A,B,B,B,C,A,C,NO,1,85,59,3,YES,N
"PINE HILLS ELEMENTARY 3250 NW 12TH PL, LAUDERHILL, FL, 33311-4942",                                                                                                    ,48,ORANGE,621,PINE HILLS ELEMENTARY,431,800,NA,small_yellow,B,A,A,B,A,C,A,A,B,A,A,C,B,A,C,NO,1,59,33,1,YES,N
"FOREST HILL ELEMENTARY SCHOOL 3250 NW 12TH PL, LAUDERHILL, FL, 33311-4942",                                                                                                    ,50,PALM BEACH,621,FOREST HILL ELEMENTARY SCHOOL,497,800,NA,small_yellow,B,A,C,A,A,B,A,A,A,A,A,A,B,B,A,NO,1,44,23,2,NO,N
"LAKE SHIPP ELEMENTARY SCHOOL 3250 NW 12TH PL, LAUDERHILL, FL, 33311-4942",                                                                                                    ,53,POLK,621,LAKE SHIPP ELEMENTARY SCHOOL,436,800,NA,small_green,A,A,A,A,A,B,B,A,A,A,A,A,C,A,C,NO,2,54,67,4,YES,N
"ROCK LAKE MIDDLE SCHOOL 3250 NW 12TH PL, LAUDERHILL, FL, 33311-4942",                                                                                                    ,59,SEMINOLE,621,ROCK LAKE MIDDLE SCHOOL,657,900,NA,small_green,A,A,,,,,,B,A,,,,,,,YES,1,65,38,4,NO,N
"BLUE LAKE ELEMENTARY SCHOOL 3250 NW 12TH PL, LAUDERHILL, FL, 33311-4942",                                                                                                    ,64,VOLUSIA,621,BLUE LAKE ELEMENTARY SCHOOL,472,800,NA,small_green,A,A,A,A,A,A,,,,,,,,,,YES,1,34,19,4,NO,N
"LAKELAND MONTESSORI SCHOOL HOUSE 3300 NW 27TH AVE, MIAMI, FL, 33142-5881",http://djjcs.dadeschools.net                                                                        ,53,POLK,8141,LAKELAND MONTESSORI SCHOOL HOUSE,561,NA,NA,small_green,A,A,A,A,A,A,A,A,B,A,A,A,C,A,C,NO,4,44,31,5,NO,N
"MIAMI CAROL CITY SENIOR HIGH 3301 MIAMI GARDENS DR, MIAMI GARDENS, FL, 33056",http://mccsh.dadeschools.net/                                                                       ,13,DADE,7231,MIAMI CAROL CITY SENIOR HIGH,Pending,Pending,Pending,measle_turquoise,C,B,A,C,A,A,B,A,B,A,B,B,D,C,D,NO,1,81,70,3,YES,N
"SOMERSET ACADEMY POMPANO (K-5) 3311 NW 9TH AVE, POMPANO BEACH, FL, 33064-2036",                                                                                                    ,6,BROWARD,5388,SOMERSET ACADEMY POMPANO (K-5),193,NA,NA,measle_gray,Pending,C,D,C,D,C,C,C,D,D,C,C,C,C,C,NO,3,63,51,3,NO,N
"BAY HAVEN CHARTER ACADEMY 3333 NE 39TH AVE, GAINESVILLE, FL, 32609-2639",http://www.sbac.edu/pages/ACPS                                                                      ,3,BAY,701,BAY HAVEN CHARTER ACADEMY,594,800,NA,measle_gray,Pending,B,A,B,B,C,C,C,D,C,C,C,C,C,C,NO,3,44,13,2,NO,N
"PARKWAY MIDDLE SCHOOL 3333 NE 39TH AVE, GAINESVILLE, FL, 32609-2639",http://www.sbac.edu/pages/ACPS                                                                      ,6,BROWARD,701,PARKWAY MIDDLE SCHOOL,485,900,NA,measle_gray,Pending,C,B,B,C,B,C,C,C,C,C,C,C,D,C,NO,3,76,91,4,YES,N
"NORTH SHORE ELEMENTARY 3333 NE 39TH AVE, GAINESVILLE, FL, 32609-2639",http://www.sbac.edu/pages/ACPS                                                                      ,16,DUVAL,701,NORTH SHORE ELEMENTARY,436,800,NA,measle_turquoise,C,B,A,B,,,,,,,,,,,,YES,1,69,90,5,NO,N
"CARROLLWOOD ELEMENTARY SCHOOL 3333 NE 39TH AVE, GAINESVILLE, FL, 32609-2639",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,701,CARROLLWOOD ELEMENTARY SCHOOL,564,800,NA,measle_turquoise,C,B,A,C,B,A,A,B,A,A,B,B,C,A,B,NO,1,65,48,4,NO,N
"SOUTH LAKE HIGH SCHOOL 3333 NE 39TH AVE, GAINESVILLE, FL, 32609-2639",http://www.sbac.edu/pages/ACPS                                                                      ,35,LAKE,701,SOUTH LAKE HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,C,C,C,B,C,C,C,C,A,B,B,A,A,C,NO,4,77,24,1,YES,N
"GENE WITT ELEMENTARY SCHOOL 3333 NE 39TH AVE, GAINESVILLE, FL, 32609-2639",http://www.sbac.edu/pages/ACPS                                                                      ,41,MANATEE,701,GENE WITT ELEMENTARY SCHOOL,597,800,NA,small_yellow,B,A,C,A,A,A,B,A,A,A,A,A,C,A,C,NO,1,90,98,5,YES,N
"WEST PORT HIGH SCHOOL 3333 NE 39TH AVE, GAINESVILLE, FL, 32609-2639",http://www.sbac.edu/pages/ACPS                                                                      ,42,MARION,701,WEST PORT HIGH SCHOOL,Pending,Pending,Pending,small_yellow,B,A,A,A,A,A,A,A,A,A,A,A,B,A,B,NO,1,53,30,1,YES,N
"CATALINA ELEMENTARY 3333 NE 39TH AVE, GAINESVILLE, FL, 32609-2639",http://www.sbac.edu/pages/ACPS                                                                      ,48,ORANGE,701,CATALINA ELEMENTARY,407,800,NA,small_yellow,B,A,A,B,A,A,A,A,A,A,A,B,C,C,C,NO,1,58,24,1,YES,N
"MILL CREEK ELEMENTARY SCHOOL 3333 NE 39TH AVE, GAINESVILLE, FL, 32609-2639",http://www.sbac.edu/pages/ACPS                                                                      ,49,OSCEOLA,701,MILL CREEK ELEMENTARY SCHOOL,503,800,NA,small_yellow,B,B,A,A,A,B,A,B,A,A,A,B,A,C,D,NO,1,78,53,4,YES,N
"CYPRESS ELEMENTARY SCHOOL 3333 NE 39TH AVE, GAINESVILLE, FL, 32609-2639",http://www.sbac.edu/pages/ACPS                                                                      ,51,PASCO,701,CYPRESS ELEMENTARY SCHOOL,496,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,A,C,B,NO,1,77,94,5,YES,N
"PARTIN ELEMENTARY SCHOOL 3333 NE 39TH AVE, GAINESVILLE, FL, 32609-2639",http://www.sbac.edu/pages/ACPS                                                                      ,59,SEMINOLE,701,PARTIN ELEMENTARY SCHOOL,653,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,C,C,A,NO,1,9,20,2,NO,N
"LEE CHARTER ACADEMY 3348 EDGEWOOD AVE, FORT MYERS, FL, 33916-1418",www.leecharteracademy.net/Welcome.html                                                              ,36,LEE,4131,LEE CHARTER ACADEMY,313,800,NA,small_yellow,B,B,A,B,A,A,A,A,A,A,A,A,N,,,NO,2,54,58,5,YES,N
"ORANGE CITY ELEMENTARY SCHOOL 3348 EDGEWOOD AVE, FORT MYERS, FL, 33916-1418",www.leecharteracademy.net/Welcome.html                                                              ,64,VOLUSIA,4131,ORANGE CITY ELEMENTARY SCHOOL,479,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,A,B,B,B,NO,1,29,26,2,NO,N
"GALILEO SCHOOL FOR GIFTED LEARNING 3350 STATE ROAD 60 E, BARTOW, FL, 33830-8471",                                                                                                    ,59,SEMINOLE,9233,GALILEO SCHOOL FOR GIFTED LEARNING,644,800,NA,small_green,A,A,A,A,A,A,A,A,A,A,A,N,,,,NO,2,7,17,2,NO,N
"FLORIDA INTERCULTURAL ACADEMY K-8 WEST 3367 N UNIVERSITY DR, HOLLYWOOD, FL, 33024-9004",                                                                                                    ,6,BROWARD,5422,FLORIDA INTERCULTURAL ACADEMY K-8 WEST,474,800,NA,measle_gray,Pending,B,B,A,B,B,B,A,B,A,A,A,C,B,A,NO,3,40,42,2,NO,N
"TROPICAL ELEMENTARY SCHOOL 3375 SW 75TH AVE, DAVIE, FL, 33314-1400",                                                                                                    ,13,DADE,5521,TROPICAL ELEMENTARY SCHOOL,495,800,YES,small_purple,D,C,C,B,A,A,A,A,A,A,B,A,C,C,D,NO,1,83,44,2,YES,N
"BOSTON AVENUE CHARTER SCHOOL 340 N BOSTON AVE, DELAND, FL, 32724-4441",                                                                                                    ,64,VOLUSIA,7961,BOSTON AVENUE CHARTER SCHOOL,428,800,NA,measle_brown,No grade,A,A,A,A,A,A,A,A,A,A,N,,,,YES,1,63,46,2,YES,N
"KIMBELL ELEMENTARY 3400 NW 135TH ST, OPA-LOCKA, FL, 33054-4708",                                                                                                    ,29,HILLSBOROUGH,120,KIMBELL ELEMENTARY,452,800,NA,measle_turquoise,C,B,A,C,B,A,A,A,A,A,A,A,C,A,B,NO,1,87,45,4,YES,N
"REDDICK ELEMENTARY SCHOOL 3400 NW 135TH STREET, OPA-LOCKA, FL, 33054-4708",                                                                                                    ,29,HILLSBOROUGH,110,REDDICK ELEMENTARY SCHOOL,472,800,NA,measle_turquoise,C,C,B,B,C,B,C,B,C,C,,,,,,NO,2,80,44,4,YES,N
"VETERANS ELEMENTARY SCHOOL 3400 NW 135TH STREET, OPA-LOCKA, FL, 33054-4708",                                                                                                    ,51,PASCO,110,VETERANS ELEMENTARY SCHOOL,644,800,NA,small_green,A,A,A,A,B,A,A,A,,,,,,,,YES,1,49,95,5,NO,N
"SKY ACADEMY 3400 NW 135TH STREET, OPA-LOCKA, FL, 33054-4708",                                                                                                    ,58,SARASOTA,110,SKY ACADEMY,562,900,NA,small_green,A,A,A,A,A,A,A,A,A,A,N,,,,,NO,2,28,26,5,NO,N
"MADISON MIDDLE SCHOOL 3400 NW 87TH ST, MIAMI, FL, 33147-3944",http://madisonmiddle.dadeschools.net/                                                               ,13,DADE,6391,MADISON MIDDLE SCHOOL,434,900,NA,small_purple,D,C,C,B,B,A,A,B,A,A,N,,,,,NO,1,72,46,4,YES,N
"GULF ELEMENTARY SCHOOL 3400 SW 17TH PL, CAPE CORAL, FL, 33914-4919",http://gfe.leeschools.net/                                                                          ,36,LEE,672,GULF ELEMENTARY SCHOOL,535,800,NA,small_yellow,B,A,A,A,A,A,A,A,A,A,B,C,A,D,C,NO,1,84,84,5,YES,N
"RIVER CITIES COMMUNITY CHARTER SCHOOL 3405 NW 27TH AVE, MIAMI, FL, 33142-5206",http://rivercitiescharterschool.com/                                                                ,13,DADE,6049,RIVER CITIES COMMUNITY CHARTER SCHOOL,449,900,NA,small_purple,D,C,B,C,A,B,C,B,C,B,B,B,C,C,C,NO,2,74,55,4,YES,N
"MANATEE ELEMENTARY 3425 VIERA BLVD, VIERA, FL, 32940-8000",http://www.manatee.brevard.k12.fl.us                                                                ,5,BREVARD,1161,MANATEE ELEMENTARY,622,800,NA,measle_gray,Pending,A,A,A,B,A,C,B,B,B,B,A,C,C,C,NO,3,58,79,5,NO,N
"MARGATE ELEMENTARY SCHOOL 3425 VIERA BLVD, VIERA, FL, 32940-8000",http://www.manatee.brevard.k12.fl.us                                                                ,6,BROWARD,1161,MARGATE ELEMENTARY SCHOOL,471,800,NA,measle_gray,Pending,B,D,B,C,B,C,C,C,C,B,C,C,C,C,NO,3,47,37,3,NO,N
"CRESTVIEW ELEMENTARY SCHOOL 3425 VIERA BLVD, VIERA, FL, 32940-8000",http://www.manatee.brevard.k12.fl.us                                                                ,13,DADE,1161,CRESTVIEW ELEMENTARY SCHOOL,427,800,NA,small_purple,D,C,C,C,,,,,,,,,,,,YES,1,78,92,5,YES,N
"SADIE T. TILLIS ELEMENTARY SCHOOL 3425 VIERA BLVD, VIERA, FL, 32940-8000",http://www.manatee.brevard.k12.fl.us                                                                ,16,DUVAL,1161,SADIE T. TILLIS ELEMENTARY SCHOOL,376,800,NA,measle_turquoise,C,D,C,D,A,B,C,C,C,F,D,D,N,,,NO,1,96,93,2,YES,N
"CANOPY OAKS ELEMENTARY SCHOOL 3425 VIERA BLVD, VIERA, FL, 32940-8000",http://www.manatee.brevard.k12.fl.us                                                                ,37,LEON,1161,CANOPY OAKS ELEMENTARY SCHOOL,495,800,YES,small_yellow,B,A,A,A,A,A,A,A,A,A,B,A,B,C,C,NO,1,75,54,2,YES,N
"MULBERRY MIDDLE SCHOOL 3425 VIERA BLVD, VIERA, FL, 32940-8000",http://www.manatee.brevard.k12.fl.us                                                                ,53,POLK,1161,MULBERRY MIDDLE SCHOOL,558,900,NA,small_green,A,A,A,A,A,A,A,A,A,A,B,A,C,B,A,NO,1,58,35,4,NO,N
"REINHERDT HOLM ELEMENTARY SCHOOL 3436 NE 39TH AVE STE 3, GAINESVILLE, FL, 32609-2638",http://www.sbac.edu/pages/ACPS                                                                      ,17,ESCAMBIA,602,REINHERDT HOLM ELEMENTARY SCHOOL,454,800,NA,measle_turquoise,C,B,B,B,B,C,A,B,A,B,A,C,C,C,C,NO,1,87,72,2,YES,N
"MILESTONES COMMUNITY SCHOOL OF LAKE COUNTY, INC. 3436 NE 39TH AVE STE 3, GAINESVILLE, FL, 32609-2638",http://www.sbac.edu/pages/ACPS                                                                      ,35,LAKE,9029,"MILESTONES COMMUNITY SCHOOL OF LAKE COUNTY, INC.",454,900,NA,small_yellow,B,A,A,B,A,A,A,A,A,B,A,A,A,A,C,NO,2,52,73,2,NO,N
"STEPHEN FOSTER ELEMENTARY SCHOOL 3471 SW 22ND ST, FORT LAUDERDALE, FL, 33312-4315",                                                                                                    ,6,BROWARD,921,STEPHEN FOSTER ELEMENTARY SCHOOL,435,800,YES,measle_gray,Pending,A,B,A,A,B,B,C,B,B,A,A,C,C,,YES,3,16,20,3,NO,N
"EUGENE BUTLER MIDDLE SCHOOL 3471 SW 22ND ST, FORT LAUDERDALE, FL, 33312-4315",                                                                                                    ,16,DUVAL,921,EUGENE BUTLER MIDDLE SCHOOL,407,900,NA,measle_turquoise,C,B,B,B,B,A,A,A,B,A,A,B,C,B,B,NO,1,64,10,2,YES,N
"L. D. MCARTHUR ELEMENTARY SCHOOL 3471 SW 22ND ST, FORT LAUDERDALE, FL, 33312-4315",                                                                                                    ,17,ESCAMBIA,921,L. D. MCARTHUR ELEMENTARY SCHOOL,435,800,YES,measle_turquoise,C,B,A,C,A,B,A,B,B,B,A,C,A,C,C,NO,1,82,46,1,YES,N
"COLEMAN MIDDLE SCHOOL 3471 SW 22ND ST, FORT LAUDERDALE, FL, 33312-4315",                                                                                                    ,29,HILLSBOROUGH,921,COLEMAN MIDDLE SCHOOL,690,900,NA,measle_turquoise,C,B,C,C,A,A,C,C,C,C,C,D,D,C,C,NO,1,87,62,2,YES,N
"ROBINSWOOD MIDDLE 3471 SW 22ND ST, FORT LAUDERDALE, FL, 33312-4315",                                                                                                    ,48,ORANGE,921,ROBINSWOOD MIDDLE,479,900,NA,small_yellow,B,A,C,C,B,D,C,C,D,C,C,C,D,D,D,NO,1,95,99,3,YES,N
