FISCAL_YEAR,SYSTEM_ID,SYSTEM_NAME,SCHOOL_ID,SCHOOL_NAME,FAC_SCHTYPE,GRADE_RANGE,SCHOOL_ADDRESS,SCHOOL_CITY,STATE,SCHOOL_ZIP,MAIL_ADDRESS,MAIL_CITY,MAIL_ZIP,PRINCIPAL_FNAME,PRINCIPAL_LNAME,PRINCIPAL_MNAME,EMAIL_ADDRESS,SCHOOL_PHONE,SCHOOL_FAX
2012,602,Atkinson County,0190,Pearson Elementary School,E,PK-05,563 King St N ,Pearson,GA,31642-7444,563 King St N ,Pearson,31642-7444,Janice,Tillman,,jtillman@atkinson.k12.ga.us,912.422.3882,912.422.7024
2012,603,Bacon County,0102,Bacon County Primary School,E,PK-02,251 Cumberland Rd,Alma,GA,31510-1680,251 Cumberland Rd,Alma,31510-1680,Jana,Merritt,,jmerritt@bcraiders.com,912.632.4765,912.632.6611
2012,603,Bacon County,0202,Bacon County Middle School,M,06-08,901 N Pierce St,Alma,GA,31510-1708,901 N Pierce St,Alma,31510-1708,Stephanie,Deen,C,sdeen@bcraiders.com,912.632.4662,912.632.6603
2012,603,Bacon County,0302,Bacon County High School,H,09-12,901 N Pierce St,Alma,GA,31510-1708,901 N Pierce St,Alma,31510-1708,Teresa,Sermons,,,912.632.4414,912.632.6603
2012,603,Bacon County,3050,Bacon County Elementary School,E,03-05,523 E 16th St,Alma,GA,31510-3013,523 E 16th St,Alma,31510-3013,Judy,Rowland,,judy.rowland@bcraiders.com,912.632.4133,912.632.5414
2012,604,Baker County,0105,Baker County K12 School,K12,PK-12,260 Ga Highway 37 SW ,Newton,GA,39870-8212,260 Ga Highway 37 SW ,Newton,39870-8212,Robert,Graper,,trogers@baker.k12.ga.us,229.734.5274,229.734.3071
2012,605,Baldwin County,0100,Oak Hill MS,M,06-08,356 Blandy Rd NW,Milledgeville,GA,31061-8927,356 Blandy Rd NW,Milledgeville,31061-8927,Linda,Ramsey,,linda.ramsey@baldwin.k12.ga.us,478.457.3370,478.457.2422
2012,605,Baldwin County,0104,Eagle Ridge Elementary School,E,PK-05,220 N Abc Dr,Milledgeville,GA,31061-1500,220 N Abc Dr,Milledgeville,31061-1500,Jeanette,Scott,,jscott@baldwin.k12.ga.us,478.457.2967,478.457.2924
2012,605,Baldwin County,0189,Baldwin High School,H,09-12,155 Ga Highway 49 W ,Milledgeville,GA,31061-3600,155 Ga Highway 49 W ,Milledgeville,31061-3600,Jessica,Swain,,jessica.swain@baldwin.k12.ga.us,478.453.6429,
2012,605,Baldwin County,0194,Midway Elementary School,E,KK-05,101 Carl Vinson Rd SE ,Milledgeville,GA,31061-9781,101 Carl Vinson Rd SE ,Milledgeville,31061-9781,,,,antonio.ingram@baldwin.k12.ga.us,478.457.2440,478.453.2680
2012,605,Baldwin County,0195,Blandy Hills Elementary School,E,KK-05,375 Blandy Rd NW ,Milledgeville,GA,31061-8926,375 Blandy Rd NW ,Milledgeville,31061-8926,Charlene,Thorpe,,charlene.thorpe@baldwin.k12.ga.us,478.457.2495,478.457.2499
2012,605,Baldwin County,0199,Creekside Elementary School,E,KK-05,372 Blandy Rd NW ,Milledgeville,GA,31061-8927,372 Blandy Rd NW ,Milledgeville,31061-8927,Dianne,Becker,,DBecker@baldwin.k12.ga.us,478.457.3301,478.457.3340
2012,606,Banks County,0105,Banks County Middle School,M,06-08,712 Thompson St,Homer,GA,30547-3116,712 Thompson St,Homer,30547-3116,Matthew,Cooper,,mcooper@banks.k12.ga.us,706.677.2277,706.677.5227
2012,606,Banks County,0107,Banks County Elementary School,E,03-05,180 Highway 51 S ,Homer,GA,30547-2529,180 Highway 51 S ,Homer,30547-2529,Michael,Williams,,mhwilliams@banks.k12.ga.us,706.677.2308,
2012,606,Banks County,0199,Banks County High School,H,09-12,1486a Historic Homer Hwy ,Homer,GA,30547-3112,P.O. Box 277,Homer,30547,Art,Wheaton,,awheaton@banks.k12.ga.us,706.677.2221,706.677.2688
2012,606,Banks County,0205,Banks County Primary School,E,PK-02,266 Highway 51 S ,Homer,GA,30547-2514,266 Highway 51 S ,Homer,30547-2514,Janice,Reiselt,,lginn@banks.k12.ga.us,706.677.2355,706.677.4797
2012,607,Barrow County,0101,Apalachee High School,H,09-12,940 Haymon Morris Rd ,Winder,GA,30680-7889,940 Haymon Morris Rd ,Winder,30680-7889,David,McGee,,dmcgee@barrow.k12.ga.us,770.586.5111,770.586.5905
2012,607,Barrow County,0105,County Line Elementary School,E,PK-05,334 Rockwell Church Rd NW,Winder,GA,30680-2923,334 Rockwell Church Rd NW,Winder,30680-2923,Chris,McMichael,,,770.867.2902,770.867.8942
2012,607,Barrow County,0106,Haymon-Morris Middle School,M,06-08,1008 Haymon Morris Rd ,Winder,GA,30680-7840,1008 Haymon Morris Rd ,Winder,30680-7840,Sheila,Kahrs,,skahrs@barrow.k12.ga.us,678.963.0602,770.867.1854
2012,607,Barrow County,0113,College and Career Preparatory Academy,H,09-12,54 Star St W,Bethlehem,GA,30620-2203,54 Star St W,Bethlehem,30620-2203,molly,stiltner,,mstiltner@barrow.k12.ga.us,770.868.1072,
2012,607,Barrow County,0189,Kennedy Elementary School,E,PK-05,200 Matthews School Rd,Winder,GA,30680-3984,200 Matthews School Rd,Winder,30680-3984,Ryan,Butcher,,,770.867.3182,770.307.4532
2012,607,Barrow County,0193,Bramlett Elementary School,E,PK-05,622 Freeman Brock Rd,Auburn,GA,30011-2610,622 Freeman Brock Rd,Auburn,30011-2610,Cindy,Propst,,cpropst@barrow.k12.ga.us,770.307.1627,770.868.1442
2012,607,Barrow County,0198,Westside Middle School,M,06-08,240 Matthews School Rd,Winder,GA,30680-3984,240 Matthews School Rd,Winder,30680-3984,Eli,"Welch, III",,ewelch@barrow.k12.ga.us,770.307.2972,770.307.2976
2012,607,Barrow County,0205,Bethlehem Elementary School,E,PK-05,47 McElhannon Rd SW ,Bethlehem,GA,30620-2717,47 McElhannon Rd SW ,Bethlehem,30620-2717,Marisa,Grant,,,770.867.2238,770.307.0529
2012,607,Barrow County,0289,Russell Middle School,M,06-08,84 W Midland Ave ,Winder,GA,30680-2500,84 W Midland Ave ,Winder,30680-2500,Robert,Johnson,,rjohnson@barrow.k12.ga.us,770.867.8181,7708681215
2012,607,Barrow County,0298,Yargo Elementary School,E,PK-05,1000 Haymon Morris Rd,Winder,GA,30680-7840,1000 Haymon Morris Rd,Winder,30680-7840,Jan,Masingill,,jan.masingill@barrow.k12.ga.us,770.867.1147,770.867.1214
2012,607,Barrow County,1050,Auburn Elementary School,E,PK-05,1334 6th Ave ,Auburn,GA,30011-3281,1334 6th Ave ,Auburn,30011-3281,Shawn,Williams,,shawn.williams@barrow.k12.ga.us,770.963.7887,770.963.2923
2012,607,Barrow County,2052,Winder-Barrow Middle School,M,06-08,163 King St ,Winder,GA,30680-2366,163 King St ,Winder,30680-2366,Jennifer,Wood,,jennifer.wood@barrow.k12.ga.us,770.867.2116,770.868.1421
2012,607,Barrow County,3052,Winder-Barrow High School,H,09-12,272 N 5th Ave,Winder,GA,30680-4501,272 N 5th Ave,Winder,30680-4501,Al,Darby,,,770.867.4519,770.867.6412
2012,607,Barrow County,4050,Holsenbeck Elementary School,E,PK-05,445 Holsenbeck School Rd,Winder,GA,30680-3749,445 Holsenbeck School Rd,Winder,30680-3749,Jackie,Robinson,,jrobinson@barrow.k12.ga.us,770.307.1540,770.307.1255
2012,607,Barrow County,5050,Statham Elementary School,E,PK-05,1970 Broad St,Statham,GA,30666-1700,1970 Broad St,Statham,30666-1700,Robert (Mac),Almond,,malmond@barrow.k12.ga.us,770.725.7112,770.725.1550
2012,608,Bartow County,0101,Woodland Middle School at Euharlee,M,06-08,1061 Euharlee Rd ,Euharlee,GA,30145-2807,1061 Euharlee Rd ,Euharlee,30145-2807,Lamar,Barnes,,lamar.barnes@bartow.k12.ga.us,770.606.5871,770.606.2092
2012,608,Bartow County,0104,Clear Creek Elementary School,E,PK-05,50 Pleasant Valley Rd NW ,Cartersville,GA,30121-4337,50 Pleasant Valley Rd NW ,Cartersville,30121-4337,Kelly,Wade,,kelly.wade@bartow.k12.ga.us,770.606.5403,770.386.4450
2012,608,Bartow County,0105,Adairsville High School,H,09-12,519 Old Highway 41 NW ,Adairsville,GA,30103-5346,519 Old Highway 41 NW ,Adairsville,30103-5346,Bruce,Mulkey,,bruce.mulkey@bartow.k12.ga.us,770.606.4151,770.773.2722
2012,608,Bartow County,0106,Pine Log Elementary,E,PK-05,1095 Cass Pine Log Rd ,Rydal,GA,30171-1407,1095 Cass Pine Log Rd ,Rydal,30171-1407,Nancy,Summey,Carol,cathy.strickland@bartow.k12.ga.us,770.606.5864,
2012,608,Bartow County,0107,Euharlee Elementary School,E,PK-05,1058 Euharlee Rd ,Euharlee,GA,30145-2806,1058 Euharlee Rd ,Euharlee,30145-2806,Sharon,Collum,,sharon.collum@bartow.k12.ga.us,770.606.5872,678.721.4266
2012,608,Bartow County,0114,New Cass High School,H,09-12,1000 Colonel Way NE,White,GA,30184-2619,1000 Colonel Way NE,White,30184-2619,Michael,Nelson,,michael.nelson@bartow.k12.ga.us,770.606.5800,
2012,608,Bartow County,0175,White Elementary School,E,PK-05,505 Colonel Way ,White,GA,30184-2614,505 Colonel Way ,White,30184-2614,Amy,Heater,,amy.heater@bartow.k12.ga.us,770.606.5869,770.606.3876
2012,608,Bartow County,0177,Adairsville Elementary School,E,PK-05,122 King St ,Adairsville,GA,30103-2304,122 King St ,Adairsville,30103-2304,Melissa,Zarefoss,,melissa.zarefoss@bartow.k12.ga.us,770.606.5840,770.773.7755
2012,608,Bartow County,0186,Mission Road Elementary School,E,PK-05,1100 Mission Rd SW,Cartersville,GA,30120-5779,1100 Mission Rd SW,Cartersville,30120-5779,Sherrie,Hughes,,sherrie.hughes@bartow.k12.ga.us,770.606.5863,770.606.3862
2012,608,Bartow County,0190,South Central Middle School,M,06-08,224 Old Alabama Rd SE ,Emerson,GA,30137-2910,224 Old Alabama Rd SE ,Emerson,30137-2910,Donald,Rucker,,donald.rucker@bartow.k12.ga.us,770.606.5865,770.606.3872
2012,608,Bartow County,0195,Cass Middle School,M,06-08,195 Fire Tower Rd NW ,Cartersville,GA,30120-4648,195 Fire Tower Rd NW ,Cartersville,30120-4648,Kristy,Arnold,,kristy.arnold@bartow.k12.ga.us,770.606.5846,770.606.3835
2012,608,Bartow County,0196,Allatoona Elementary School,E,PK-05,4150 New Hope Church Rd SE,Acworth,GA,30102-2726,"4150 New Hope Church Road, NW ",Acworth,30101,Jim,Bishop,,james.bishop@bartow.k12.ga.us,770.606.5843,770.975.4173
2012,608,Bartow County,0198,Woodland High School,H,09-12,800 Old Alabama Rd SE ,Cartersville,GA,30120-6883,800 Old Alabama Rd SE ,Cartersville,30120-6883,Melissa,Williams,H. ,melissa.williams@bartow.k12.ga.us,770.606.5870,770.606.2080
2012,608,Bartow County,0296,Kingston Elementary School,E,PK-05,240 Hardin Bridge Rd ,Kingston,GA,30145-2668,240 Hardin Bridge Rd ,Kingston,30145-2668,Stefany,Howard,,stefany.howard@bartow.k12.ga.us,770.606.5850,770.336.5591
2012,608,Bartow County,0301,Adairsville Middle School,M,06-08,116 N Franklin St,Adairsville,GA,30103-2834,116 N Franklin St,Adairsville,30103-2834,Brian,Knuchel,,bknuchel@bartow.k12.ga.us,770.606.2030,7707739260
2012,608,Bartow County,0377,Hamilton Crossing Elementary School,E,PK-05,116 Hamilton Crossing Rd NW ,Cartersville,GA,30120-4884,116 Hamilton Crossing Rd NW ,Cartersville,30120-4884,Lynn,Robertson,,lynn.robertson@bartow.k12.ga.us,770.606.5849,7706063852
2012,608,Bartow County,0396,Taylorsville Elementary School,E,PK-05,1502 Old Alabama Rd ,Taylorsville,GA,30178-1505,1502 Old Alabama Rd ,Taylorsville,30178-1505,Bernadette,Dipetta,,bunny.dipetta@bartow.k12.ga.us,770.606.5867,770.606.2056
2012,608,Bartow County,1052,Cloverleaf Elementary School,E,PK-05,71 W Felton Rd,Cartersville,GA,30120-2111,71 W Felton Rd ,Cartersville,30120-2111,Evie,Barge,,ebarge@bartow.k12.ga.us,770.606.5847,770.606.3842
2012,608,Bartow County,2052,Emerson Elementary School,E,PK-05,54 7th St,Emerson,GA,30137-2219,54 7th St,Emerson,30137-2219,Robb,Kittle,,robb.kittle@bartow.k12.ga.us,770.606.5848,7706063847
2012,609,Ben Hill County,0111,Ben Hill Elementary School,E,03-05,328 Lobinger Ave,Fitzgerald,GA,31750-8124,328 Lobinger Ave,Fitzgerald,31750-8124,Tracy,McCray,Shavette,mccrayt@ben-hill.k12.ga.us,229.409.5586,
2012,609,Ben Hill County,0196,Ben Hill County Primary School,E,PK-02,221 Jc Hunter Rd,Fitzgerald,GA,31750-6924,221 Jc Hunter Rd,Fitzgerald,31750-6924,Steve,Harden,,hardens@ben-hill.k12.ga.us,229.409.5592,2294095595
2012,609,Ben Hill County,0291,Fitzgerald High School,H,09-12,601 W Cypress St,Fitzgerald,GA,31750-3265,601 W Cypress St ,Fitzgerald,31750-3265,Randy,Garrett,,,229.409.5530,229.409.5534
2012,609,Ben Hill County,0296,Ben Hill County Middle School,M,06-08,134 Jc Hunter Rd ,Fitzgerald,GA,31750-6901,134 Jc Hunter Rd ,Fitzgerald,31750-6901,Patti,Barwick,,,229.409.5578,2294095580
2012,610,Berrien County,0101,Berrien High School,H,09-12,500 E Smith Ave ,Nashville,GA,31639-1258,500 E Smith Ave ,Nashville,31639-1258,Angie,Lovein,,alovein@berrien.k12.ga.us,229.686.7428,229.686.6251
2012,610,Berrien County,0106,Berrien Academy Performance Learning Center,H,09-12,1015 Exum Rd ,Nashville,GA,31639-2730,P.O. Box 622 ,Nashville,31639,Karen,Ball,Lynn,karen.ball@berrien.k12.ga.us,229.686.6576,229.686.65
2012,610,Berrien County,0194,Berrien Middle School,M,06-08,800 Tifton Rd ,Nashville,GA,31639-3718,800 Tifton Rd ,Nashville,31639-3718,Robin,Clanton,,rclanton@berrien.k12.ga.us,229.686.2021,229.686.6546
2012,610,Berrien County,0195,Berrien Elementary School,E,03-05,802 Middle School Cir ,Nashville,GA,31639-5656,802 Middle School Circle ,Nashville,31639-1703,Belinda,West,,bwest@berrien.k12.ga.us,229.686.2939,229.686.5500
2012,610,Berrien County,5050,Berrien Primary School,E,PK-02,1427 N Davis St ,Nashville,GA,31639-3926,1427 N Davis St ,Nashville,31639-3926,Gail,Melton,,gmelton@berrien.k12.ga.us,229.686.7438,229.686.6211
2012,611,Bibb County,0103,Skyview Elementary School,E,PK-05,5700 Fulton Mill Rd ,Lizella,GA,31052-5112,5700 Fulton Mill Rd ,Lizella,31052-5112,Judy,Vickers,,jvickers.skyview@bibb.k12.ga.us,478.779.3956,478.784.6918
2012,611,Bibb County,0104,Burdell Elementary School,E,KK-05,972 Fort Hill St ,Macon,GA,31217-6404,972 Fort Hill St ,Macon,31217-6404,Tanya,Allen,,tgallen.Burdell@bibb.k12.ga.us,478.779.2937,478.752.5227
2012,611,Bibb County,0105,Howard High School,H,09-12,6600 Forsyth Rd ,Macon,GA,31210-7231,US Hwy 41 @ Colaparchee Road ,Macon,31210,Matt,Adams,,madams.howardhs@bibb.k12.ga.us,478.779.7852,
2012,611,Bibb County,0107,Bloomfield Middle School,M,06-08,4375 Bloomfield Rd ,Macon,GA,31206-4213,4375 Bloomfield Rd ,Macon,31206-4213,Efrem,Yarber,,eyarber.bloomfield@bibb.k12.ga.us,478.779.4800,..
2012,611,Bibb County,0108,Ballard Hudson Middle School,M,06-08,1751 Williamson Rd ,Macon,GA,31206-3339,1751 Williamson Rd ,Macon,31206-3339,Kenneth,Lanier,,klanier.Ballard@bibb.k12.ga.us,478.779.3390,
2012,611,Bibb County,0109,Bruce Elementary,E,PK-05,3660 Houston Ave,Macon,GA,31206-2414,3660 Houston Ave,Macon,31206-2414,Ramon,Johnson,,rajohnson.Bruce@bibb.k12.ga.us,478.779.4558,
2012,611,Bibb County,0111,Northwoods Academy School,E,PK-PK,709 Pierce Ave,Macon,GA,31204-1528,709 Pierce Ave,Macon,31204-1528,Tricia,Storey,,tstorey@bibb.k12.ga.us,478.779.3200,
2012,611,Bibb County,0186,Central High School,H,09-12,2155 Napier Ave ,Macon,GA,31204-3655,2155 Napier Ave ,Macon,31204-3655,Jeffrey,Homan,,jhoman.Central@bibb.k12.ga.us,478.779.2292,478.751.6834
2012,611,Bibb County,0198,Westside High,H,09-12,2851 Heath Rd ,Macon,GA,31206-5266,2851 Heath Rd ,Macon,31206-5266,Laura,Perkins,,lperkins.Westside@bibb.k12.ga.us,478.779.3813,478.757.5525
2012,611,Bibb County,0203,Vineville Academy,E,KK-05,2260 Vineville Ave ,Macon,GA,31204-3116,2260 Vineville Ave ,Macon,31204-3116,Paulette,Winters,,pwinters.VINEACAD@bibb.k12.ga.us,478.779.3226,478.621.2752
2012,611,Bibb County,0204,Rutland High School,H,09-12,6250 Skipper Rd ,Macon,GA,31216-6104,6250 Skipper Rd ,Macon,31216-6104,Jerri,Hall,,jhall.rutlandhs@bibb.k12.ga.us,478.779.3041,478.784.5462
2012,611,Bibb County,0205,Howard Middle School,M,06-08,6600 Forsyth Rd ,Macon,GA,31210-7231,6600 Forsyth Rd ,Macon,31210-7231,Eric,Carlyle,,ecarlyle.HOWARD@bibb.k12.ga.us,478.779.3454,478.757.5557
2012,611,Bibb County,0286,Northeast High School,H,09-12,1646 Upper River Rd ,Macon,GA,31211-1524,1646 Upper River Rd ,Macon,31211-1524,Quinton,Green,,qbgreen.Northeast@bibb.k12.ga.us,478.779.4157,478.751.6818
2012,611,Bibb County,0298,Miller Magnet Middle School,M,06-08,751 Hendley St ,Macon,GA,31204-3503,751 Hendley St ,Macon,31204-3503,Sherri,Flagg,,stjones.miller@bibb.k12.ga.us,478.779.4029,478.751.6829
2012,611,Bibb County,0303,William S. Hutchings Career Center,H,09-12,2004 Riverside Dr ,Macon,GA,31204-2051,2004 Riverside Dr ,Macon,31204-2051,Clarence,Chesser,Russell,rchesser.hutchingscc@bibb.k12.ga.us,478.779.2535,478.621.2742
2012,611,Bibb County,0305,Rutland Middle School,M,06-08,6260 Skipper Rd ,Macon,GA,31216-6104,6260 Skipper Rd ,Macon,31216-6104,Richard,Key,Allan,rakey.rutlandms@bibb.k12.ga.us,478.779.4369,478.784.6929
2012,611,Bibb County,0307,Price Educational Center,M,04-07,304 Pierce Ave ,Macon,GA,31204-2422,304 Pierce Ave ,Macon,31204-2422,Rozelle,Rumford,,rozelle.rumford@themethodisthome.org,478.751.2800,
2012,611,Bibb County,0383,Williams Elementary School,E,KK-05,325 Pursley St ,Macon,GA,31201-1127,325 Pursley St ,Macon,31201-1127,Shandrina,Griffin-Stewart,,sgriffin-stewart.Williams@bibb.k12.ga.us,478.779.3660,478.207.2019
2012,611,Bibb County,0386,Southwest High School,H,09-12,1730 Canterbury Rd ,Macon,GA,31206-3318,1730 Canterbury Rd ,Macon,31206-3318,Elizabeth,Blair-Ricks,,eblair-ricks.Southwest@bibb.k12.ga.us,478.779.4459,478.784.5476
2012,611,Bibb County,0405,Rosa Taylor Elementary School,E,PK-05,2976 Crestline Dr ,Macon,GA,31204-1237,2976 Crestline Dr ,Macon,31204-1237,Susan,Simpson,,ssimpson.Taylor@bibb.k12.ga.us,478.779.3563,478.471.5448
2012,611,Bibb County,0407,Macon Behavioral Health System,E,05-08,3500 Riverside Dr ,Macon,GA,31210-2509,3500 Riverside Dr ,Macon,31210-2509,Matt,Love,,matt.love@psysolutions.com,478.477.3289,
2012,611,Bibb County,0505,Weaver Middle School,M,06-08,2570 Heath Rd ,Macon,GA,31206-5259,2570 Heath Rd ,Macon,31206-5259,Pam,Carswell,Morris,pcarswell.Weaver@bibb.k12.ga.us,478.779.4630,478.471.5806
2012,611,Bibb County,0605,Heritage Elementary School,E,PK-05,6050 Thomaston Rd ,Macon,GA,31220-5331,6050 Thomaston Rd ,Macon,31220-5331,Donna,Jackson,James,djackson.heritage@bibb.k12.ga.us,478.779.4715,478.471.5818
2012,611,Bibb County,0705,Union Elementary School,E,PK-05,4831 Mamie Carter Dr ,Macon,GA,31210-5650,4831 Mamie Carter Dr ,Macon,31210-5650,Emanuel,Frazier,M,efrazier.Union@bibb.k12.ga.us,478.773.2629,478.471.5408
2012,611,Bibb County,0805,Riley Elementary School,E,PK-05,3522 Greenbriar Rd ,Macon,GA,31204-4204,3522 Greenbriar Rd ,Macon,31204-4204,Jacqueline,Walden,Yvette,jwalden.Riley@bibb.k12.ga.us,478.779.2064,478.207.2001
2012,611,Bibb County,0905,Morgan Elementary School,E,PK-05,4901 Faubus Ave ,Macon,GA,31204-6303,4901 Faubus Ave ,Macon,31204-6303,Terese,Martin,,tmartin.Morgan@bibb.k12.ga.us,478.779.2409,478.784.3139
2012,611,Bibb County,1005,Brookdale Elementary School,E,PK-05,3600 Brookdale Ave ,Macon,GA,31204-2728,3600 Brookdale Ave ,Macon,31204-2728,Nadine,McQueen-Campbell,,nmcqueen-campbell.BrookdaleEl@bibb.k12.ga.us,478.779.2783,478.207.2021
2012,611,Bibb County,1050,Alexander II Magnet School,E,KK-05,1156 College St ,Macon,GA,31201-1701,1156 College St ,Macon,31201-1701,Cynthia,Canova,,ccanova.Alex2@bibb.k12.ga.us,478.779.2679,478.752.5249
2012,611,Bibb County,1054,Bernd Elementary School,E,PK-05,4160 Ocmulgee East Blvd ,Macon,GA,31217-5636,4160 Ocmulgee East Blvd ,Macon,31217-5636,Christopher,Ridley,B.,cridley.Bernd@bibb.k12.ga.us,478.779.2730,478.751.3205
2012,611,Bibb County,1058,King - Danforth Elementary School,E,PK-05,1301 Shurling Dr ,Macon,GA,31211-2137,1301 Shurling Dr ,Macon,31211-2137,Benjy,Morgan,,bmorgan.Danforth@bibb.k12.ga.us,478.751.6727,478.751.6783
2012,611,Bibb County,1067,Porter Elementary School,E,PK-05,5802 School Rd ,Macon,GA,31216-6244,5802 School Rd ,Macon,31216-6244,Lanny,Davis,,ldavis.Porter@bibb.k12.ga.us,478.784.3144,478.784.5440
2012,611,Bibb County,1105,Springdale Elementary School,E,PK-05,4965 Northside Dr,Macon,GA,31210-1626,4965 Northside Dr,Macon,31210-1626,Amy,Duke,M,aduke.SpringdaleEL@bibb.k12.ga.us,478.471.5419,478.477.3520
2012,611,Bibb County,1205,Carter Elementary School,E,PK-05,5910 Zebulon Rd,Macon,GA,31210-2096,5910 Zebulon Rd,Macon,31210-2096,Latricia,Reeves,,lreeves.Carter@bibb.k12.ga.us,478.471.5440,478.757.5536
2012,611,Bibb County,1305,Lane Elementary School,E,PK-05,990 Newport Rd ,Macon,GA,31210-3344,990 Newport Rd ,Macon,31210-3344,Georglyn,Stephens,,lstephens.Lane@bibb.k12.ga.us,478.471.5416,478.471.5801
2012,611,Bibb County,2060,Hartley Elementary School,E,PK-05,2230 Anthony Rd,Macon,GA,31204-5824,2230 Anthony Rd,Macon,31204-5824,Shelia,Garcia,Vontell,sgarcia.hartley@bibb.k12.ga.us,478.784.3135,478.784.3155
2012,611,Bibb County,3060,Heard Elementary School,E,PK-05,6515 Houston Rd ,Macon,GA,31216-6716,6515 Houston Rd ,Macon,31216-6716,Sandra,Stanley,C.,sstanley.Heard@bibb.k12.ga.us,478.784.3138,478.784.3190
2012,611,Bibb County,3062,Jones Elementary School,E,PK-05,2350 Alandale Dr,Macon,GA,31211-2202,2350 Alandale Dr,Macon,31211-2202,Keela,Malone,,,478.751.6739,478.752.5206
2012,611,Bibb County,3067,Ingram/Pye Elementary School,E,PK-05,1870 Pio Nono Ave ,Macon,GA,31204-6143,1870 Pio Nono Ave ,Macon,31204-6143,Mary,Sams,,msams.Ingram@bibb.k12.ga.us,478.751.6736,478.751.3218
2012,611,Bibb County,4052,Barden Elementary School,E,KK-05,2521 Anderson Dr ,Macon,GA,31206-4401,2521 Anderson Dr ,Macon,31206-4401,Jacqueline,Jackson,,jjackson.barden@bibb.k12.ga.us,478.784.3125,478.784.3133
2012,611,Bibb County,5050,Appling Middle School,M,06-08,1210 Shurling Dr ,Macon,GA,31211-2035,1210 Shurling Dr ,Macon,31211-2035,Steven,Jones,,sjones.Appling@bibb.k12.ga.us,478.751.6758,478.745.4337
2012,611,Bibb County,5054,Burghard Elementary School,E,PK-05,6020 Bloomfield Rd ,Macon,GA,31206-8204,6020 Bloomfield Rd ,Macon,31206-8204,Terri,Walker,,twalker.BurghardEL@bibb.k12.ga.us,478.784.3132,
2012,611,Bibb County,5067,Rice Elementary School,E,PK-05,3750 Jessie Rice St ,Macon,GA,31206-3820,3750 Jessie Rice St ,Macon,31206-3820,Iwanda,Dickey,,,478.784.3147,478.784.6911
2012,612,Bleckley County,0105,Bleckley County High School,H,09-12,1 Royal Dr,Cochran,GA,31014-2857,1 Royal Dr,Cochran,31014-2857,Richard,Smith,,rsmith@bleckley.k12.ga.us,478.934.6258,478.934.9707
