Division  Num ,Division Name ,NCES School Num ,School  Num ,School Name ,Low  Grades ,High  Grades ,Division  Description ,School Description ,Grade  Standard ,Schedule ,Principal ,Address1 ,City ,State ,Zip ,Phone  Number ,Fall  Membership  Schools,Address
2,Albemarle County Public Schools,5.10E+11,942,Joseph T. Henley Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mr. Patrick  McLaughlin ,5880 Rockfish Gap Turnpike,Crozet,VA,22932,434-823-4393,Membership,"Joseph T. Henley Middle, 5880 Rockfish Gap Turnpike, Crozet, VA, 22932"
2,Albemarle County Public Schools,5.10E+11,20,Leslie H. Walton Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Mrs. Alison  Dwier-Selden ,4217 Red Hill Road,Charlottesville,VA,22903,434-977-5615,Membership,"Leslie H. Walton Middle, 4217 Red Hill Road, Charlottesville, VA, 22903"
2,Albemarle County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,401 McIntire Road,Charlottesville,VA,22902,804-296-5885,Membership,"Local or Regional Jail, 401 McIntire Road, Charlottesville, VA, 22902"
2,Albemarle County Public Schools,5.10E+11,40,Mary Carr Greer Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Robyn  Bolling ,190 Lambs Lane,Charlottesville,VA,22901,434-973-8371,Membership,"Mary Carr Greer Elementary, 190 Lambs Lane, Charlottesville, VA, 22901"
2,Albemarle County Public Schools,5.10E+11,250,Meriwether Lewis Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kimberly  Cousins ,1610 Owensville Road,Charlottesville,VA,22901,434-293-9304,Membership,"Meriwether Lewis Elementary, 1610 Owensville Road, Charlottesville, VA, 22901"
2,Albemarle County Public Schools,5.10E+11,1052,Monticello High,9,12,Local Education Agency,Public school - Regular,High,7 A/B,Jesse  Turner ,1400 Independence Way,Charlottesville,VA,22902,434-244-3100,Membership,"Monticello High, 1400 Independence Way, Charlottesville, VA, 22902"
2,Albemarle County Public Schools,5.10E+11,1051,Mortimer Y. Sutherland Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 period,Mr. Dave  Rogers ,2801 Powell Creek Drive,Charlottesville,VA,22911,434-975-0599,Membership,"Mortimer Y. Sutherland Middle, 2801 Powell Creek Drive, Charlottesville, VA, 22911"
2,Albemarle County Public Schools,5.10E+11,890,Murray High,9,12,Local Education Agency,Public school - Charter,High,4X4,Ms. E. Ashby Kindler ,1200 Forest Street,Charlottesville,VA,22903,434-296-3090,Membership,"Murray High, 1200 Forest Street, Charlottesville, VA, 22903"
2,Albemarle County Public Schools,5.10E+11,150,Paul H. Cale Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Lisa  Jones ,1757 Avon Street Extended,Charlottesville,VA,22902,434-293-7455,Membership,"Paul H. Cale Elementary, 1757 Avon Street Extended, Charlottesville, VA, 22902"
2,Albemarle County Public Schools,5.10E+11,540,Red Hill Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Art  Stow ,3901 Red Hill School Road,North Garden,VA,22959,434-293-5332,Membership,"Red Hill Elementary, 3901 Red Hill School Road, North Garden, VA, 22959"
2,Albemarle County Public Schools,5.10E+11,30,Scottsville Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Sharon  Amato-Wilcox ,7868 Scottsville Road,Scottsville,VA,24590,434-286-2441,Membership,"Scottsville Elementary, 7868 Scottsville Road, Scottsville, VA, 24590"
2,Albemarle County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,Non-Membership,"Special Situation Schools, , , , "
2,Albemarle County Public Schools,5.10E+11,920,Stone Robinson Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Nicholas J King ,958 North Milton Road,Charlottesville,VA,22911,434-296-3754,Membership,"Stone Robinson Elementary, 958 North Milton Road, Charlottesville, VA, 22911"
2,Albemarle County Public Schools,5.10E+11,240,Stony Point Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Carrie  Neeley ,3893 Stony Point Road,Keswick,VA,22947,434-973-6405,Membership,"Stony Point Elementary, 3893 Stony Point Road, Keswick, VA, 22947"
2,Albemarle County Public Schools,5.10E+11,910,Virginia L. Murray Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mark  Green ,3251 Morgantown Road,Charlottesville,VA,22903,434-977-4599,Membership,"Virginia L. Murray Elementary, 3251 Morgantown Road, Charlottesville, VA, 22903"
2,Albemarle County Public Schools,5.10E+11,140,Western Albemarle High,9,12,Local Education Agency,Public school - Regular,High,7 A/B,Dr. John  Werner ,5941 Rockfish Gap Turnpike,Crozet,VA,22932,434-823-8700,Membership,"Western Albemarle High, 5941 Rockfish Gap Turnpike, Crozet, VA, 22932"
2,Albemarle County Public Schools,5.10E+11,930,Woodbrook Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Lisa  Molinaro ,100 Woodbrook Drive,Charlottesville,VA,22901,434-973-6600,Membership,"Woodbrook Elementary, 100 Woodbrook Drive, Charlottesville, VA, 22901"
101,Alexandria Public Schools,5.10E+11,120,Charles Barrett Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Seth  Kennard ,1115 Martha Custis Dr,Alexandria,VA,22302,703-824-6960,Membership,"Charles Barrett Elementary, 1115 Martha Custis Dr, Alexandria, VA, 22302"
101,Alexandria Public Schools,5.10E+11,160,Cora Kelly Magnet Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Brandon  Davis ,3600 Commonwealth Ave,Alexandria,VA,22305,703-706-4420,Membership,"Cora Kelly Magnet Elementary, 3600 Commonwealth Ave, Alexandria, VA, 22305"
101,Alexandria Public Schools,5.10E+11,110,Douglas Macarthur Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Rae  Covey ,1101 Janneys Ln,Alexandria,VA,22302,703-461-4190,Membership,"Douglas Macarthur Elementary, 1101 Janneys Ln, Alexandria, VA, 22302"
101,Alexandria Public Schools,5.10E+11,170,Francis C. Hammond Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,   ,4646 Seminary Rd,Alexandria,VA,22304,703-461-4100,Membership,"Francis C. Hammond Middle, 4646 Seminary Rd, Alexandria, VA, 22304"
101,Alexandria Public Schools,5.10E+11,250,Francis Hammond 2 Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Jason  Sutton ,4646 Seminary Road,Alexandria,VA,22304,703-461-4100,Membership,"Francis Hammond 2 Middle, 4646 Seminary Road, Alexandria, VA, 22304"
101,Alexandria Public Schools,5.10E+11,260,Francis Hammond 3 Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Andrea  Sparks-Brown ,4646 Seminary Road,Alexandria,VA,22304,703-461-4100,Membership,"Francis Hammond 3 Middle, 4646 Seminary Road, Alexandria, VA, 22304"
101,Alexandria Public Schools,5.10E+11,100,George Mason Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,   ,2601 Cameron Mills Rd,Alexandria,VA,22302,703-706-4470,Membership,"George Mason Elementary, 2601 Cameron Mills Rd, Alexandria, VA, 22302"
101,Alexandria Public Schools,5.10E+11,240,George Washington 2 Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Pierrette  Hall ,1005 Mt. Vernon Avenue,Alexandria,VA,22301,703-706-4500,Membership,"George Washington 2 Middle, 1005 Mt. Vernon Avenue, Alexandria, VA, 22301"
101,Alexandria Public Schools,5.10E+11,10,George Washington Middle,6,8,Local Education Agency,Public school - Regular,Middle,8 A/B,Mr. Gerald  Mann ,1005 Mt Vernon Ave,Alexandria,VA,22301,703-706-4500,Membership,"George Washington Middle, 1005 Mt Vernon Ave, Alexandria, VA, 22301"
101,Alexandria Public Schools,5.10E+11,220,James K. Polk Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. PreAnn  Johnson ,5000 Polk Ave,Alexandria,VA,22304,703-461-4180,Membership,"James K. Polk Elementary, 5000 Polk Ave, Alexandria, VA, 22304"
101,Alexandria Public Schools,5.10E+11,90,Jefferson-Houston Elementary,PK,8,Local Education Agency,Public school - Regular,Combined,Traditional Elementary,Rosalyn  Rice-Harris ,1501 Cameron St,Alexandria,VA,22314,703-706-4400,Membership,"Jefferson-Houston Elementary, 1501 Cameron St, Alexandria, VA, 22314"
101,Alexandria Public Schools,5.10E+11,230,John Adams Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,   ,5651 Rayburn Ave,Alexandria,VA,22311,703-824-6970,Membership,"John Adams Elementary, 5651 Rayburn Ave, Alexandria, VA, 22311"
101,Alexandria Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,Julie  Crawford ,2000 N Beauregard St Ste 203,Alexandria,VA,22311,703-824-6709,Membership,"Local or Regional Jail, 2000 N Beauregard St Ste 203, Alexandria, VA, 22311"
101,Alexandria Public Schools,5.10E+11,80,Lyles-Crouch Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Dr. Patricia  Zissios ,530 S St Asaph St,Alexandria,VA,22314,703-706-4430,Membership,"Lyles-Crouch Elementary, 530 S St Asaph St, Alexandria, VA, 22314"
101,Alexandria Public Schools,5.10E+11,60,Maury Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Lucretia  Jackson ,600 Russell Rd,Alexandria,VA,22301,703-706-4440,Membership,"Maury Elementary, 600 Russell Rd, Alexandria, VA, 22301"
101,Alexandria Public Schools,5.10E+11,331,Minnie Howard,,,Local Education Agency,SNP feeding site,,7 A/B,Mrs. Sarah  Schafer ,3801 W. Braddock Rd.,Alexandria,VA,22304,703-824-6600,Non-Membership,"Minnie Howard, 3801 W. Braddock Rd., Alexandria, VA, 22304"
101,Alexandria Public Schools,5.10E+11,30,Mount Vernon Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Peter  Balas ,2601 Commonwealth Ave,Alexandria,VA,22305,703-706-4460,Membership,"Mount Vernon Elementary, 2601 Commonwealth Ave, Alexandria, VA, 22305"
101,Alexandria Public Schools,5.10E+11,50,Patrick Henry Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ingrid  Bynum ,4643 Taney Ave,Alexandria,VA,22304,703-461-4170,Membership,"Patrick Henry Elementary, 4643 Taney Ave, Alexandria, VA, 22304"
101,Alexandria Public Schools,5.10E+11,333,Samuel W. Tucker Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,C. Rene  Paschal ,435 Ferdinand Day Dr,Alexandria,VA,22304,703-933-6300,Membership,"Samuel W. Tucker Elementary, 435 Ferdinand Day Dr, Alexandria, VA, 22304"
101,Alexandria Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,Non-Membership,"Special Situation Schools, , , , "
101,Alexandria Public Schools,5.10E+11,210,T.C. Williams High,9,12,Local Education Agency,Public school - Regular,High,7 A/B,Suzanne  Maxey ,3330 King St,Alexandria,VA,22302,703-824-6800,Membership,"T.C. Williams High, 3330 King St, Alexandria, VA, 22302"
101,Alexandria Public Schools,5.10E+11,190,William Ramsay Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Rosario  Casiano ,5700 Sanger Ave,Alexandria,VA,22311,703-824-6950,Membership,"William Ramsay Elementary, 5700 Sanger Ave, Alexandria, VA, 22311"
3,Alleghany County Public Schools,5.10E+11,310,Alleghany High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mr. Fred C. Vaughan Jr.,210 Mountaineer Drive,Covington,VA,24426,540-863-1700,Membership,"Alleghany High, 210 Mountaineer Drive, Covington, VA, 24426"
3,Alleghany County Public Schools,5.10E+11,110,Callaghan Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Nancy M. Moga ,4018 Midland Trail,Covington,VA,24426,540-965-1810,Membership,"Callaghan Elementary, 4018 Midland Trail, Covington, VA, 24426"
3,Alleghany County Public Schools,5.10E+11,1040,Clifton Middle,6,8,Local Education Agency,Public school - Regular,Middle,4X4,Mrs. Brenda H. Siple ,1000 Riverview Farm Road,Covington,VA,24426,540-863-1726,Membership,"Clifton Middle, 1000 Riverview Farm Road, Covington, VA, 24426"
3,Alleghany County Public Schools,5.10E+11,1041,Mountain View Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Teresa B. Johnson ,100 Gleason Dr.,Covington,VA,24426,540-863-1737,Membership,"Mountain View Elementary, 100 Gleason Dr., Covington, VA, 24426"
3,Alleghany County Public Schools,5.10E+11,90,Sharon Elementary,KG,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mr. Sherman  Callahan ,100 Sharon School Circle,Clifton Forge,VA,24422,540-863-1712,Membership,"Sharon Elementary, 100 Sharon School Circle, Clifton Forge, VA, 24422"
3,Alleghany County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,Non-Membership,"Special Situation Schools, , , , "
4,Amelia County Public Schools,5.10E+11,220,Amelia County Elementary,PK,4,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,John  Rokenbrod ,8533 N Five Forks Rd,Amelia Court House,VA,23002,804-561-2433,Membership,"Amelia County Elementary, 8533 N Five Forks Rd, Amelia Court House, VA, 23002"
4,Amelia County Public Schools,5.10E+11,10,Amelia County High,9,12,Local Education Agency,Public school - Regular,High,7 period,Mr. Tommy  Moon ,8500 Otterburn Rd,Amelia Court House,VA,23002,804-561-2101,Membership,"Amelia County High, 8500 Otterburn Rd, Amelia Court House, VA, 23002"
4,Amelia County Public Schools,5.10E+11,210,Amelia County Middle,5,8,Local Education Agency,Public school - Regular,Combined,7 period,Mr. Wes  Eary ,8740 Otterburn Road,Amelia,VA,23002,804-561-4422,Membership,"Amelia County Middle, 8740 Otterburn Road, Amelia, VA, 23002"
4,Amelia County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,Non-Membership,"Special Situation Schools, , , , "
5,Amherst County Public Schools,5.10E+11,780,Amelon Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Donna D Lewis ,132 Amer Court,Madison Heights,VA,24572,434-528-6498,Membership,"Amelon Elementary, 132 Amer Court, Madison Heights, VA, 24572"
5,Amherst County Public Schools,5.10E+11,750,Amherst County High,9,12,Local Education Agency,Public school - Regular,High,7 period,Mr. Haywood  Hand ,139 Lancer Lane,Amherst,VA,24521,434-946-2898,Membership,"Amherst County High, 139 Lancer Lane, Amherst, VA, 24521"
5,Amherst County Public Schools,,30,Amherst Educational Center,,,Local Education Agency,SNP feeding site,,,   ,219 Trojan Lane,Madison Heights,VA,24572,434-528-6485,Non-Membership,"Amherst Educational Center, 219 Trojan Lane, Madison Heights, VA, 24572"
5,Amherst County Public Schools,5.10E+11,790,Amherst Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Julie  Steele ,156 Davis St,Amherst,VA,24521,434-946-9704,Membership,"Amherst Elementary, 156 Davis St, Amherst, VA, 24521"
5,Amherst County Public Schools,5.10E+11,670,Amherst Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,Ms. Christie L. Cundiff ,165 Gordons Fairground Rd,Amherst,VA,24521,434-946-0691,Membership,"Amherst Middle, 165 Gordons Fairground Rd, Amherst, VA, 24521"
5,Amherst County Public Schools,5.10E+11,770,Central Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Kathleen M Pierce ,575 Union Hill Rd,Amherst,VA,24521,434-946-9700,Membership,"Central Elementary, 575 Union Hill Rd, Amherst, VA, 24521"
5,Amherst County Public Schools,5.10E+11,760,Elon Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Kimberly L Anderson ,147 Younger Dr,Madison Heights,VA,24572,434-528-6496,Membership,"Elon Elementary, 147 Younger Dr, Madison Heights, VA, 24572"
5,Amherst County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,P.O. Box 1257,Amherst,VA,24521,804-946-9341,Membership,"Local or Regional Jail, P.O. Box 1257, Amherst, VA, 24521"
5,Amherst County Public Schools,5.10E+11,500,Madison Heights Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Charlotte  Gilbar ,287 Learning Lane,Madison Heights,VA,24572,434-846-2151,Membership,"Madison Heights Elementary, 287 Learning Lane, Madison Heights, VA, 24572"
5,Amherst County Public Schools,5.10E+11,20,Monelison Middle,6,8,Local Education Agency,Public school - Regular,Middle,7 period,William  Wells ,257 Trojan Rd,Madison Heights,VA,24572,434-846-1307,Membership,"Monelison Middle, 257 Trojan Rd, Madison Heights, VA, 24572"
5,Amherst County Public Schools,5.10E+11,240,Pleasant View Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Michael  O'Brien ,229 Dancing Creek Rd,Monroe,VA,24574,434-528-6492,Membership,"Pleasant View Elementary, 229 Dancing Creek Rd, Monroe, VA, 24574"
5,Amherst County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,Non-Membership,"Special Situation Schools, , , , "
5,Amherst County Public Schools,5.10E+11,740,Temperance Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Michael  O'Brien ,1981 Lowesville Rd,Amherst,VA,24521,434-946-2811,Membership,"Temperance Elementary, 1981 Lowesville Rd, Amherst, VA, 24521"
6,Appomattox County Public Schools,5.10E+11,260,Appomattox County High,9,12,Local Education Agency,Public school - Regular,High,4X4,Mrs. Martha J. Eagle ,198 Evergreen Ave.,Appomattox,VA,24522,434-352-7146,Membership,"Appomattox County High, 198 Evergreen Ave., Appomattox, VA, 24522"
6,Appomattox County Public Schools,5.10E+11,110,Appomattox Elementary,3,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Karen  Cyrus ,198 Evergreen Ave.,Appomattox,VA,24522,434-352-7463,Membership,"Appomattox Elementary, 198 Evergreen Ave., Appomattox, VA, 24522"
6,Appomattox County Public Schools,5.10E+11,160,Appomattox Middle,6,8,Local Education Agency,Public school - Regular,Middle,6 period,Mr. Todd R Reichert ,2020 Church St,Appomattox,VA,24522,434-352-8257,Membership,"Appomattox Middle, 2020 Church St, Appomattox, VA, 24522"
6,Appomattox County Public Schools,5.10E+11,250,Appomattox Primary,PK,2,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Mrs. Heather  Mullins ,185 Learning Lane,Appomattox,VA,24522,434-352-5766,Membership,"Appomattox Primary, 185 Learning Lane, Appomattox, VA, 24522"
6,Appomattox County Public Schools,,9997,Local or Regional Jail,KG,12,Local Education Agency,Local or Regional Jail,Combined,,   ,P.O. Box 548,Appomattox,VA,24522,434-352-8251,Membership,"Local or Regional Jail, P.O. Box 548, Appomattox, VA, 24522"
6,Appomattox County Public Schools,,8888,Special Situation Schools,,,Local Education Agency,Unknown,,,   ,,,,,,Non-Membership,"Special Situation Schools, , , , "
7,Arlington County Public Schools,5.10E+11,350,Abingdon Elementary,PK,5,Local Education Agency,Public school - Regular,Elementary,Traditional Elementary,Ms. Joanne  Uyeda ,3035 S Abingdon St,Arlington,VA,22206,703-228-6650,Membership,"Abingdon Elementary, 3035 S Abingdon St, Arlington, VA, 22206"
7,Arlington County Public Schools,,621,Alternative Education Program Feeding Site,,,Local Education Agency,SNP feeding site,,,   ,1426 N Quincy St,Arlington,VA,22207,703-228-6010,Non-Membership,"Alternative Education Program Feeding Site, 1426 N Quincy St, Arlington, VA, 22207"
