Address,Website,District Number,District Name,School Number,School Name,Total Points 2013,Scale,Did this School Benefit from the One-Letter-Grade-Drop Protection?,Marker_Type,Preliminary Grade 2013,Grade 2012,Grade 2011,Grade 2010,Grade 2009,Grade 2008,Grade 2007,Grade 2006,Grade 2005,Grade 2004,Grade 2003,Grade 2002,Grade 2001,Grade 2000,Grade 1999,Charter,School Type,Free or Reduced-Price Lunch Rate,Minority Rate,Region,Title I,Alt/ESE Code
"COMMUNITY CHARTER SCHOOL OF EXCELLENCE 10948 N CENTRAL AVE, TAMPA, FL, 33612-6604",                                                                                                    ,29,HILLSBOROUGH,6643,COMMUNITY CHARTER SCHOOL OF EXCELLENCE,397,800,NA,measle_turquoise,C,B,C,B,A,A,A,B,A,A,A,A,B,B,C,NO,1,78,47,4,YES,N
"COMMUNITY CHARTER MIDDLE SCHOOL OF EXCELLENCE 10948 N CENTRAL AVE, TAMPA, FL, 33612-6604",                                                                                                    ,29,HILLSBOROUGH,6660,COMMUNITY CHARTER MIDDLE SCHOOL OF EXCELLENCE,485,900,NA,measle_turquoise,C,B,C,C,B,C,B,A,C,A,C,B,B,B,C,NO,1,94,74,4,YES,N
"SHORE ELEMENTARY MAGNET SCHOOL 11010 NOB HILL RD, PARKLAND, FL, 33076-4809",                                                                                                    ,29,HILLSBOROUGH,3961,SHORE ELEMENTARY MAGNET SCHOOL,508,800,NA,measle_turquoise,C,B,C,C,A,A,B,C,C,B,C,C,C,C,D,NO,1,81,81,5,YES,N
"SUMMERFIELD CROSSINGS ELEMENTARY 11050 FAIRWAY MEADOW DR, RIVERVIEW, FL, 33579-7054",                                                                                                    ,29,HILLSBOROUGH,84,SUMMERFIELD CROSSINGS ELEMENTARY,495,800,YES,measle_turquoise,C,D,C,B,B,C,C,B,B,B,C,C,C,C,D,NO,1,98,96,4,YES,N
"GIUNTA MIDDLE SCHOOL 1108 NW 7TH AVE, GAINESVILLE, FL, 32601-4949",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,52,GIUNTA MIDDLE SCHOOL,479,900,NA,measle_turquoise,C,B,B,A,A,A,B,A,B,A,A,B,B,B,C,NO,1,70,35,3,YES,N
"STEWART MIDDLE MAGNET SCHOOL 1125 W SPRUCE ST, TAMPA, FL, 33607-3625",                                                                                                    ,29,HILLSBOROUGH,284,STEWART MIDDLE MAGNET SCHOOL,579,900,NA,measle_turquoise,C,D,C,C,C,C,B,B,A,B,A,C,C,C,C,NO,1,100,90,1,YES,N
"FRANKLIN MIDDLE MAGNET SCHOOL 1137 CLEVELAND ST, JACKSONVILLE, FL, 32209-6414",http://www.duvalschools.org/johneford                                                               ,29,HILLSBOROUGH,1542,FRANKLIN MIDDLE MAGNET SCHOOL,571,900,NA,measle_turquoise,C,C,C,C,D,D,D,C,C,D,C,D,D,D,D,NO,2,100,98,3,YES,N
"FOSTER ELEMENTARY SCHOOL 1150 W 59TH PL, HIALEAH, FL, 33012-2309",http://jgd.dadeschools.net                                                                          ,29,HILLSBOROUGH,1481,FOSTER ELEMENTARY SCHOOL,424,800,NA,measle_turquoise,C,C,C,B,B,A,B,A,B,A,B,B,C,A,C,NO,4,73,43,4,NO,N
"PRIDE ELEMENTARY SCHOOL 11500 WESTVIEW DR, CORAL SPRINGS, FL, 33076-3100",                                                                                                    ,29,HILLSBOROUGH,3441,PRIDE ELEMENTARY SCHOOL,610,800,NA,measle_turquoise,C,C,B,A,C,B,A,A,A,A,A,C,D,D,D,NO,1,93,91,5,YES,N
"SESSUMS ELEMENTARY SCHOOL 11525 RAMBLE CREEK DR, RIVERVIEW, FL, 33569-2042",                                                                                                    ,29,HILLSBOROUGH,3922,SESSUMS ELEMENTARY SCHOOL,570,800,NA,measle_turquoise,C,B,A,B,B,A,C,B,C,C,B,C,C,C,C,NO,2,81,92,5,YES,N
"TERRACE COMMUNITY MIDDLE SCHOOL 11734 JEFFERSON RD, THONOTOSASSA, FL, 33592-2101",                                                                                                    ,29,HILLSBOROUGH,6606,TERRACE COMMUNITY MIDDLE SCHOOL,805,900,NA,measle_turquoise,C,B,A,B,A,B,A,B,A,B,B,C,C,C,C,NO,1,75,40,4,YES,N
"BURNEY ELEMENTARY SCHOOL 1175 MIDDLE RIVER DR, FORT LAUDERDALE, FL, 33304-1552",                                                                                                    ,29,HILLSBOROUGH,641,BURNEY ELEMENTARY SCHOOL,435,800,YES,measle_turquoise,C,B,A,C,A,A,A,A,A,B,A,A,C,A,C,NO,1,84,59,4,YES,N
"WESTSHORE ELEMENTARY SCHOOL 1190 SW 2ND ST, MIAMI, FL, 33130-1059",http://riversideelementary.dadeschools.net                                                          ,29,HILLSBOROUGH,4681,WESTSHORE ELEMENTARY SCHOOL,446,800,NA,measle_turquoise,C,B,A,A,B,A,A,A,B,A,A,B,B,B,B,NO,2,81,27,4,YES,N
"KING HIGH SCHOOL 11905 N MIAMI AVE, MIAMI, FL, 33168-4519",http://gratigny.dadeschools.net                                                                     ,29,HILLSBOROUGH,2241,KING HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,C,B,B,C,A,C,B,B,C,C,C,C,C,C,NO,2,76,74,3,YES,N
"SUMMERFIELD ELEMENTARY SCHOOL 11990 BIG BEND RD, RIVERVIEW, FL, 33579-9395",                                                                                                    ,29,HILLSBOROUGH,4211,SUMMERFIELD ELEMENTARY SCHOOL,425,800,NA,measle_turquoise,C,B,B,A,A,A,A,A,B,C,,,,,,NO,1,78,79,5,YES,N
"BEVIS ELEMENTARY SCHOOL 1201 NW 6TH AVE, POMPANO BEACH, FL, 33060-5318",                                                                                                    ,29,HILLSBOROUGH,361,BEVIS ELEMENTARY SCHOOL,677,800,NA,measle_turquoise,C,C,C,A,F,,,,,,,,,,,YES,4,45,48,1,NO,N
"MCLANE MIDDLE SCHOOL 1201 W MAIN ST, INVERNESS, FL, 34450-4625",http://www.citrus.k12.fl.us/schools/other/renaissance.htm                                           ,29,HILLSBOROUGH,322,MCLANE MIDDLE SCHOOL,459,900,NA,measle_turquoise,C,B,A,C,C,C,,,,,,,,,,YES,2,78,71,1,YES,N
"DOWDELL MIDDLE MAGNET SCHOOL 1208 WISHING WELL WAY, TAMPA, FL, 33619-4748",                                                                                                    ,29,HILLSBOROUGH,842,DOWDELL MIDDLE MAGNET SCHOOL,453,900,NA,measle_turquoise,C,B,B,C,A,A,B,B,B,A,A,C,C,C,C,NO,1,74,41,2,YES,N
"WITTER ELEMENTARY SCHOOL 121 SW 78TH PL, MIAMI, FL, 33144-2336",http://seminole.dadeschools.net/                                                                    ,29,HILLSBOROUGH,4921,WITTER ELEMENTARY SCHOOL,484,800,NA,measle_turquoise,C,D,C,B,B,A,A,A,A,A,A,A,A,C,C,NO,2,78,79,4,YES,N
"TAMPA BAY TECH HIGH SCHOOL 12401 SW 74TH AVE, MIAMI, FL, 33156-5320",http://pes.dadeschools.net/                                                                         ,29,HILLSBOROUGH,4221,TAMPA BAY TECH HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,C,,,,,,,,,,,,,,YES,4,46,55,5,NO,N
"COLLINS ELEMENTARY SCHOOL 12424 SUMMERFIELD BLVD, RIVERVIEW, FL, 33579-7709",                                                                                                    ,29,HILLSBOROUGH,65,COLLINS ELEMENTARY SCHOOL,538,800,NA,measle_turquoise,C,C,B,A,A,B,C,,,,,,,,,NO,1,76,50,4,NO,N
"PLANT CITY HIGH SCHOOL 12500 W SAMPLE RD, CORAL SPRINGS, FL, 33065-8000",                                                                                                    ,29,HILLSBOROUGH,3431,PLANT CITY HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,C,B,B,A,A,B,A,A,A,B,B,C,C,F,NO,1,95,93,5,YES,N
"SHAW ELEMENTARY SCHOOL 1300 SW 32ND CT, FORT LAUDERDALE, FL, 33315-2854",                                                                                                    ,29,HILLSBOROUGH,3951,SHAW ELEMENTARY SCHOOL,435,800,YES,measle_turquoise,C,C,B,B,B,C,C,C,C,C,C,C,C,D,C,NO,2,91,92,5,YES,N
"WILLIAMS MIDDLE MAGNET SCHOOL 13047 SW 47TH ST, MIAMI, FL, 33175-4517",http://rges.dadeschools.net/                                                                        ,29,HILLSBOROUGH,4741,WILLIAMS MIDDLE MAGNET SCHOOL,714,900,NA,measle_turquoise,C,C,C,C,B,B,A,C,B,B,B,B,C,C,C,NO,1,86,17,4,YES,N
"VALRICO LAKE ADVANTAGE ACADEMY 13306 BOYETTE RD, RIVERVIEW, FL, 33569-5741",                                                                                                    ,29,HILLSBOROUGH,6649,VALRICO LAKE ADVANTAGE ACADEMY,722,900,NA,measle_turquoise,C,B,A,A,A,A,A,B,A,A,A,A,B,B,B,NO,1,60,50,4,NO,N
"LETO HIGH SCHOOL 13333 LANIER RD, JACKSONVILLE, FL, 32226-1709",http://www.duvalschools.org/sheffield                                                               ,29,HILLSBOROUGH,2421,LETO HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,B,A,A,A,B,A,A,A,A,A,A,B,C,B,NO,1,55,49,3,NO,N
"CLAIR-MEL ELEMENTARY SCHOOL 1350 SE 9TH AVE, POMPANO BEACH, FL, 33060-9516",                                                                                                    ,29,HILLSBOROUGH,841,CLAIR-MEL ELEMENTARY SCHOOL,395,800,YES,measle_turquoise,C,B,A,A,A,A,A,A,B,C,A,C,A,C,D,NO,2,58,56,2,NO,N
"BUCKHORN ELEMENTARY SCHOOL 13505 NW 140TH ST, ALACHUA, FL, 32615-6110",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,571,BUCKHORN ELEMENTARY SCHOOL,495,800,YES,measle_turquoise,C,B,A,C,B,A,C,B,B,A,A,A,B,C,D,NO,4,74,28,1,YES,N
"MINTZ ELEMENTARY SCHOOL 1377 SARNO RD, MELBOURNE, FL, 32935-5205",http://www.harborcity.brevard.k12.fl.us                                                             ,29,HILLSBOROUGH,3061,MINTZ ELEMENTARY SCHOOL,495,800,YES,measle_turquoise,C,C,B,D,B,C,C,C,C,D,C,N,,,D,NO,1,100,92,3,YES,N
"BALLAST POINT ELEMENTARY SCHOOL 13800 NW 152ND PL, ALACHUA, FL, 32615-4433",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,161,BALLAST POINT ELEMENTARY SCHOOL,605,800,NA,measle_turquoise,C,C,B,B,B,C,B,A,C,C,A,C,C,C,D,NO,1,100,92,1,YES,N
"GORRIE ELEMENTARY SCHOOL 1400 NW 44TH AVE, COCONUT CREEK, FL, 33066-1347",                                                                                                    ,29,HILLSBOROUGH,1681,GORRIE ELEMENTARY SCHOOL,616,800,NA,measle_turquoise,C,B,A,A,A,A,A,B,A,A,A,B,C,N,,NO,1,80,80,3,YES,N
"WASHINGTON ELEMENTARY SCHOOL 1407 ESTELLE ST, TAMPA, FL, 33605-4801",                                                                                                    ,29,HILLSBOROUGH,4601,WASHINGTON ELEMENTARY SCHOOL,375,800,NA,measle_turquoise,C,B,A,B,A,A,B,B,B,A,B,C,C,C,D,NO,1,89,38,4,YES,N
"PALM RIVER ELEMENTARY SCHOOL 14250 NW 67TH AVE, HIALEAH, FL, 33014-2940",http://mles.dadeschools.net/                                                                        ,29,HILLSBOROUGH,3281,PALM RIVER ELEMENTARY SCHOOL,400,800,NA,measle_turquoise,C,C,C,D,C,D,,,,,,,,,,NO,1,86,87,3,YES,N
"LENNARD HIGH SCHOOL 1430 KNECHT RD NE, PALM BAY, FL, 32905-3932",                                                                                                    ,29,HILLSBOROUGH,73,LENNARD HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,B,A,A,A,A,A,C,,,,,,,,NO,1,93,79,4,YES,N
"SERGEANT PAUL R SMITH MIDDLE SCHOOL 14303 CITRUS POINTE DR, TAMPA, FL, 33625-3124",                                                                                                    ,29,HILLSBOROUGH,74,SERGEANT PAUL R SMITH MIDDLE SCHOOL,566,900,NA,measle_turquoise,C,B,A,A,A,A,C,A,D,C,B,D,C,C,C,NO,1,94,50,4,YES,N
"BRANDON HIGH SCHOOL 14450 NE 148TH TER, WALDO, FL, 32694-4123",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,291,BRANDON HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,C,B,C,A,C,B,A,A,A,A,A,B,A,C,NO,1,76,72,1,NO,N
"SPOTO HIGH SCHOOL 149 NE 221ST AVE, CROSS CITY, FL, 32628-5663",                                                                                                    ,29,HILLSBOROUGH,43,SPOTO HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,B,A,D,A,C,A,B,B,C,B,C,A,B,C,NO,1,80,55,3,YES,N
"YATES ELEMENTARY SCHOOL 149 NW 49TH ST, MIAMI, FL, 33127-2108",http://shadowlawn.dadeschools.net/                                                                  ,29,HILLSBOROUGH,4961,YATES ELEMENTARY SCHOOL,520,800,NA,measle_turquoise,C,B,A,B,A,A,A,B,C,A,A,D,C,C,C,NO,1,82,50,4,YES,N
"ROLAND PARK K-8 MAGNET SCHOOL 1510 N MANHATTAN AVE, TAMPA, FL, 33607-4017",                                                                                                    ,29,HILLSBOROUGH,3802,ROLAND PARK K-8 MAGNET SCHOOL,578,900,NA,measle_turquoise,C,D,C,D,B,B,C,C,B,C,C,D,D,C,D,NO,1,93,94,5,YES,N
"LITHIA SPRINGS ELEMENTARY SCHOOL 1515 FLORIDA BLVD, NEPTUNE BEACH, FL, 32266-3121",http://www.duvalschools.org/nbe                                                                     ,29,HILLSBOROUGH,2461,LITHIA SPRINGS ELEMENTARY SCHOOL,593,800,NA,measle_turquoise,C,B,A,A,A,A,C,A,A,B,A,B,A,A,B,NO,1,58,47,3,NO,N
"CHAMBERLAIN HIGH SCHOOL 1515 JUNE AVE, PANAMA CITY, FL, 32405-3728",                                                                                                    ,29,HILLSBOROUGH,761,CHAMBERLAIN HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,C,B,C,B,A,B,A,A,A,A,A,A,A,A,NO,1,71,46,4,NO,N
"GATES SENIOR HIGH SCHOOL 15316 N FLORIDA AVE, TAMPA, FL, 33613-1257",www.gateshigh.org                                                                                   ,29,HILLSBOROUGH,6665,GATES SENIOR HIGH SCHOOL,591,800,NA,measle_turquoise,C,B,D,C,A,A,A,A,A,B,A,B,C,A,C,NO,1,86,54,4,YES,N
"TRAPNELL ELEMENTARY SCHOOL 1605 S TRAPNELL RD, PLANT CITY, FL, 33566-0437",                                                                                                    ,29,HILLSBOROUGH,4481,TRAPNELL ELEMENTARY SCHOOL,453,800,NA,measle_turquoise,C,B,C,B,B,B,,,,,,,,,,NO,1,52,45,4,NO,N
"ALAFIA ELEMENTARY SCHOOL 16213 NW US HIGHWAY 441, ALACHUA, FL, 32615-6399",http://www.sbac.edu/pages/ACPS                                                                      ,29,HILLSBOROUGH,271,ALAFIA ELEMENTARY SCHOOL,557,800,NA,measle_turquoise,C,C,B,C,A,B,C,B,C,C,B,D,,,D,NO,1,100,93,1,YES,N
"LEARNING GATE COMMUNITY SCHOOL 16215 HANNA RD, LUTZ, FL, 33549-5701",                                                                                                    ,29,HILLSBOROUGH,6613,LEARNING GATE COMMUNITY SCHOOL,579,900,NA,measle_turquoise,C,C,C,C,B,B,C,B,B,C,C,C,C,C,C,NO,2,72,38,4,NO,N
"RANDALL MIDDLE SCHOOL 16510 FISHHAWK BLVD, LITHIA, FL, 33547-3820",                                                                                                    ,29,HILLSBOROUGH,3620,RANDALL MIDDLE SCHOOL,710,900,NA,measle_turquoise,C,B,A,A,A,A,A,B,D,,,,,,,YES,4,78,62,5,YES,N
"CHILES ELEMENTARY SCHOOL 16541 TAMPA PALMS BLVD W, TAMPA, FL, 33647-2762",                                                                                                    ,29,HILLSBOROUGH,772,CHILES ELEMENTARY SCHOOL,591,800,NA,measle_turquoise,C,B,A,A,A,A,A,A,B,A,A,B,N,,,NO,1,58,53,4,NO,N
"TOWN & COUNTRY ELEMENTARY SCHOOL 16700 SW 109TH AVE, MIAMI, FL, 33157-2817",http://pinelake.dadeschools.net/                                                                    ,29,HILLSBOROUGH,4441,TOWN & COUNTRY ELEMENTARY SCHOOL,471,800,NA,measle_turquoise,C,C,B,B,A,B,C,,,,,,,,,NO,2,81,32,4,YES,N
"WESTCHASE ELEMENTARY SCHOOL 16929 SW 104TH AVE, MIAMI, FL, 33157-4239",http://beckford.dadeschools.net/                                                                    ,29,HILLSBOROUGH,4651,WESTCHASE ELEMENTARY SCHOOL,597,800,NA,measle_turquoise,C,C,C,B,A,A,A,B,B,B,B,C,C,C,C,NO,1,81,23,4,YES,N
"BLOOMINGDALE HIGH SCHOOL 1700 BLOOMINGDALE AVE, VALRICO, FL, 33596-6220",                                                                                                    ,29,HILLSBOROUGH,4141,BLOOMINGDALE HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,C,C,B,A,C,A,B,A,B,B,D,N,,,NO,1,99,95,5,YES,N
"ROBINSON HIGH SCHOOL 17100 SW 48TH CT, MIRAMAR, FL, 33027-4998",                                                                                                    ,29,HILLSBOROUGH,3731,ROBINSON HIGH SCHOOL,Pending,Pending,Pending,measle_turquoise,C,B,A,A,A,A,A,C,A,A,B,B,C,C,D,NO,1,57,67,5,YES,N
"WILSON ELEMENTARY SCHOOL 17101 NE 7TH AVE, NORTH MIAMI BEACH, FL, 33162-2033",http://gkesp.dadeschools.net/                                                                       ,29,HILLSBOROUGH,4801,WILSON ELEMENTARY SCHOOL,511,800,NA,measle_turquoise,C,C,B,A,A,C,B,B,C,C,B,C,C,C,B,NO,2,81,15,4,YES,N
